run_idx,method,efficiency,runtime
0,cache+batch,tensor(4.3021),29.614492893218994
1,cache+batch,tensor(4.1840),8.409866094589233
2,cache+batch,tensor(4.1019),8.229715824127197
3,cache+batch,tensor(4.2577),8.203919172286987
4,cache+batch,tensor(4.1803),8.238095045089722
0,baseline,tensor(4.2305),291.9175326824188
1,baseline,tensor(4.3377),286.4321942329407
2,baseline,tensor(4.5071),294.8753910064697
3,baseline,tensor(4.4830),292.4551429748535
4,baseline,tensor(4.5295),289.869912147522
0,batching,tensor(4.2859),29.732985973358154
1,batching,tensor(4.2551),29.254786252975464
2,batching,tensor(4.3628),30.243552684783936
3,batching,tensor(4.3361),29.011759042739868
4,batching,tensor(4.2980),30.06678342819214
