run_idx,method,efficiency,runtime
0,cache+batch,tensor(3.9016),13.367934465408325
1,cache+batch,tensor(3.8415),6.000484943389893
2,cache+batch,tensor(3.9208),5.936972141265869
3,cache+batch,tensor(3.7815),5.945157766342163
4,cache+batch,tensor(3.7911),6.2135515213012695
0,baseline,tensor(3.3806),255.64848470687866
1,baseline,tensor(3.3301),257.63056659698486
2,baseline,tensor(3.3289),256.26996994018555
3,baseline,tensor(3.3541),258.0285732746124
4,baseline,tensor(3.4274),256.0706219673157
0,batching,tensor(3.8259),9.3399658203125
1,batching,tensor(3.8295),9.291570901870728
2,batching,tensor(3.9076),9.220152616500854
3,batching,tensor(3.8031),9.913511753082275
4,batching,tensor(3.8836),9.347164154052734
