run_idx,method,efficiency,runtime
0,cache+batch,tensor(6.5725),37.90272903442383
1,cache+batch,tensor(6.4129),17.048656225204468
2,cache+batch,tensor(6.4809),17.943981409072876
3,cache+batch,tensor(6.4746),18.774702787399292
4,cache+batch,tensor(6.5213),17.017574548721313
0,baseline,tensor(8.3682),654.5572633743286
1,baseline,tensor(8.1311),681.26349401474
2,baseline,tensor(8.2907),657.2819314002991
3,baseline,tensor(8.1487),694.8855977058411
4,baseline,tensor(8.3945),659.3872582912445
0,batching,tensor(6.7980),72.60043382644653
1,batching,tensor(6.6774),73.93359184265137
2,batching,tensor(6.6113),72.54890704154968
3,batching,tensor(6.7374),72.51552510261536
4,batching,tensor(6.6674),73.25861668586731
