run_idx,method,efficiency,runtime
0,cache+batch,tensor(2.4730),38.46467614173889
1,cache+batch,tensor(2.4281),28.24610710144043
2,cache+batch,tensor(2.4420),27.44416093826294
3,cache+batch,tensor(2.4221),27.4334716796875
4,cache+batch,tensor(2.3805),27.398985147476196
0,baseline,tensor(2.9933),2054.13867521286
1,baseline,tensor(2.8821),2112.0207376480103
2,baseline,tensor(2.8681),2065.6862485408783
3,baseline,tensor(2.9203),2150.256282567978
4,baseline,tensor(2.8747),2064.0479640960693
0,batching,tensor(2.5587),762.2771084308624
1,batching,tensor(2.5935),754.2804932594299
2,batching,tensor(2.5013),757.4534597396851
3,batching,tensor(2.5744),768.7997212409973
4,batching,tensor(2.4819),748.2864544391632
