run_idx,method,efficiency,runtime
0,cache+batch,tensor(24.8048),26.78659963607788
1,cache+batch,tensor(24.9251),22.528911352157593
2,cache+batch,tensor(24.8467),22.72147798538208
3,cache+batch,tensor(24.7503),22.749101161956787
4,cache+batch,tensor(24.5113),21.952208042144775
0,baseline,tensor(20.6624),1341.9967308044434
1,baseline,tensor(20.5337),1335.9787409305573
2,baseline,tensor(20.7012),1349.5155329704285
3,baseline,tensor(20.8123),1337.9077444076538
4,baseline,tensor(20.4261),1351.6889941692352
0,batching,tensor(25.0937),92.30262303352356
1,batching,tensor(24.9756),93.55772614479065
2,batching,tensor(25.4196),92.06413125991821
3,batching,tensor(25.0408),93.04938983917236
4,batching,tensor(25.4638),93.26632237434387
