run_idx,method,efficiency,runtime
0,cache+batch,tensor(1.6944),26.237569332122803
1,cache+batch,tensor(1.6962),20.270232439041138
2,cache+batch,tensor(1.6883),20.59903907775879
3,cache+batch,tensor(1.6903),20.45898962020874
4,cache+batch,tensor(1.6956),20.268755674362183
0,baseline,tensor(1.5545),372.02471828460693
1,baseline,tensor(1.5863),373.5056257247925
2,baseline,tensor(1.6096),383.3715672492981
3,baseline,tensor(1.5958),374.23485112190247
4,baseline,tensor(1.6417),374.5810897350311
0,batching,tensor(1.6769),70.12965822219849
1,batching,tensor(1.6723),71.11245369911194
2,batching,tensor(1.6656),70.75582790374756
3,batching,tensor(1.6731),70.79961967468262
4,batching,tensor(1.6755),71.4898111820221
